Sigle	Belegtext	Animacy_finegrained	Lemma	PoS	Ort	Jahr	upperCase	Sprachraum.ost.west	Gender	Kompositum	Period	Animacy3	Animacy	Freq	Rolle {L.S.}	Moralische Bewertung	Prestige_Lemma
S161_Z163	burgkman	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S160_Z149	Burgkmans	menschlich	burgmann	NB	Güstrow	1615	WAHR	1	male	0	2	animate	4	10	nicht entschieden	neutral	WAHR
S417_Z205	Pütner	menschlich	büttner	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	1	Denunzierter	negativ	FALSCH
S2954_Z149LN	dieb	menschlich	dieb	NN	Georgenthal	1597	FALSCH	1	male	0	1	animate	4	4	Denunzierter	negativ	FALSCH
S295_Z174LN	dieb	menschlich	dieb	NN	Georgenthal	1597	FALSCH	1	male	0	1	animate	4	4	Denunzierter	negativ	FALSCH
S466_Z187	dieb	menschlich	dieb	NN	München	1600	FALSCH	1	male	0	1	animate	4	4	Denunzierter 	negativ	FALSCH
S170_Z193	dieb	menschlich	dieb	NN	Perleberg	1588	FALSCH	1	male	0	1	animate	4	4	Denunzierter	negativ	FALSCH
S160_Z123	diener	menschlich	diener	NN	Güstrow	1615	FALSCH	1	male	0	2	animate	4	2	nicht entschieden	neutral	FALSCH
S160_Z135	diener	menschlich	diener	NN	Güstrow	1615	FALSCH	1	male	0	2	animate	4	2	nicht entschieden	neutral	FALSCH
S161_Z157	dienst knecht	menschlich	dienstknecht	NB	Güstrow	1615	FALSCH	1	male	1	2	animate	4	1	nicht entschieden	neutral	FALSCH
S341_Z150	Doctor	menschlich	doctor	NB	Baden-Baden	1628	WAHR	0	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S413_Z19	Doctor	menschlich	doctor	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S419_Z301	doctor	menschlich	doctor	NB	Bamberg	1628	FALSCH	1	male	0	3	animate	4	14	nicht entschieden	neutral	WAHR
S413_Z3LN	doctor	menschlich	doctor	NB	Bamberg	1628	FALSCH	1	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S413_Z4LN	doctor	menschlich	doctor	NB	Bamberg	1628	FALSCH	1	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S419_Z266LN	Doctor	menschlich	doctor	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S413_Z5LN	doctor	menschlich	doctor	NB	Bamberg	1628	FALSCH	1	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S419_Z264	Doctor	menschlich	doctor	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	14	Denunzierter	negativ	WAHR
S417_Z198	doctor	menschlich	doctor	NB	Bamberg	1628	FALSCH	1	male	0	3	animate	4	14	Denunzierter	negativ	WAHR
S413_Z6LN	doctor	menschlich	doctor	NB	Bamberg	1628	FALSCH	1	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S250_Z4	Doctorn	menschlich	doctor	NB	Lemberg	1630	WAHR	0	male	0	3	animate	4	14	Justiz&Helfer	positiv	WAHR
S464_Z92LN	Doctor	menschlich	doctor	NB	München	1600	WAHR	1	male	0	1	animate	4	14	Justiz&Helfer	positiv	WAHR
S464_Z93LN	Doctor	menschlich	doctor	NB	München	1600	WAHR	1	male	0	1	animate	4	14	Justiz&Helfer	positiv	WAHR
S179_Z224	Doctoren	menschlich	doctor	NB	Stralsund	1630	WAHR	1	male	0	3	animate	4	14	nicht entschieden	neutral	WAHR
S59_Z21	eheman	menschlich	ehemann	NN	Jever	1592	FALSCH	0	male	1	1	animate	4	3	Zeuge	neutral	FALSCH
S157_Z5	eheman	menschlich	ehemann	NN	Güstrow	1615	FALSCH	1	male	1	2	animate	4	3	nicht entschieden	neutral	FALSCH
S311_Z88	Ehemanne	menschlich	ehemann	NN	Ostrau	1628	WAHR	1	male	1	3	animate	4	3	nicht entschieden	neutral	FALSCH
S500_Z8	In- wohners	menschlich	einwohner	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	1	nicht entschieden	neutral	FALSCH
S465_Z130	Feldthüetter	menschlich	feldhüter	NB	München	1600	WAHR	1	male	1	1	animate	4	1	nicht entschieden	neutral	FALSCH
S11_Z10	frauw	menschlich	frau	NN	Alme	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S15_Z193	frauw	menschlich	frau	NN	Alme	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S15_Z195	frauw	menschlich	frau	NN	Alme	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S13_Z86	frauwen	menschlich	frau	NN	Alme	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S13_Z_89	frauwen	menschlich	frau	NN	Alme	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S417_Z208	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S417_Z209	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S417_Z209	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte 	negativ	FALSCH
S417_Z210LN	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S417_Z211LN	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S417_Z211LN	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S417_Z217	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S418_Z256LN	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S418_Z259LN	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S418_Z259	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S418_Z260	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S418_Z261	fraw	menschlich	frau	NN	Bamberg	1628	FALSCH	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S292_Z64	frawen	menschlich	frau	NN	Georgenthal	1597	FALSCH	1	fem	0	1	animate	3	70	Geschädigte	positiv	FALSCH
S157_Z1	fraw	menschlich	frau	NN	Güstrow	1615	FALSCH	1	fem	0	2	animate	3	70	Angeklagte	negativ	FALSCH
S161_Z175	fraw	menschlich	frau	NN	Güstrow	1615	FALSCH	1	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S163_Z260	Frawe	menschlich	frau	NN	Güstrow	1615	WAHR	1	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S160_Z154	Frawen	menschlich	frau	NN	Güstrow	1615	WAHR	1	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S163_Z258	Frawen	menschlich	frau	NN	Güstrow	1615	WAHR	1	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S226_Z3	frauwe	menschlich	frau	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	70	Angeklagte	negativ	FALSCH
S228_Z113	frauwe	menschlich	frau	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	70	Angeklagte	negativ	FALSCH
S229_Z124	frauwe	menschlich	frau	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	70	Geschädigte	positiv	FALSCH
S229_Z127	frauwe	menschlich	frau	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	70	Geschädigte	positiv	FALSCH
S230_Z159	frauwe	menschlich	frau	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	70	Denunzierte	negativ	FALSCH
S230_Z160	frauwe	menschlich	frau	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	70	Denunzierte	negativ	FALSCH
S229_Z138	frauwen	menschlich	frau	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	70	nicht entschieden	neutral	FALSCH
S251_Z70	fraw	menschlich	frau	NN	Lemberg	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S251_Z72	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S251_Z77	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S251_Z85	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S252_Z114	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S253_Z128	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S253_Z134	fraw	menschlich	frau	NN	Lemberg	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S253_Z134	fraw	menschlich	frau	NN	Lemberg	1630	FALSCH	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S253_Z153	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S253_Z154	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S254_Z170	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S254_Z170	Fraw	menschlich	frau	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S80_Z65	fruwe	menschlich	frau	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S80_Z67	fruwe	menschlich	frau	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S81_Z73	fruwe	menschlich	frau	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S81_Z77	fruwe	menschlich	frau	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S81_Z83	fruwe	menschlich	frau	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S80_Z68	fruwen	menschlich	frau	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S81_85	fruwen	menschlich	frau	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	70	Geschädigte	positiv	FALSCH
S170_Z199	frawen	menschlich	frau	NN	Perleberg	1588	FALSCH	1	fem	0	1	animate	3	70	Geschädigte	positiv	FALSCH
S500_Z25	fraw	menschlich	frau	NN	Schweinfurt	1616	FALSCH	1	fem	0	2	animate	3	70	Angeklagte	negativ	FALSCH
S501_Z62	Fraw	menschlich	frau	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	70	Angeklagte	negativ	FALSCH
S501_Z68	fraw	menschlich	frau	NN	Schweinfurt	1616	FALSCH	1	fem	0	2	animate	3	70	Angeklagte	negativ	FALSCH
S500_Z39	Frawen	menschlich	frau	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	70	Angeklagte	negativ	FALSCH
S502_Z96	frawen	menschlich	frau	NN	Schweinfurt	1616	FALSCH	1	fem	0	2	animate	3	70	Angeklagte	negativ	FALSCH
S175_Z61	Fraw	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Zeugin	neutral	FALSCH
S175_Z72	Fraw	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S175_Z75	Fraw	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S178_Z187	Fraw	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S174_Z37	Frawe	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S177_Z150	Frawe	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S179_Z218	Frawe	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Denunzierte	negativ	FALSCH
S179_Z222	Frawe	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	nicht entschieden	neutral	FALSCH
S174_Z13	Frawen	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Angeklagte	negativ	FALSCH
S174_Z21	Frawen	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S174_Z27	frawen	menschlich	frau	NN	Stralsund	1630	FALSCH	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S174_Z35	Frawen	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S177_Z159	Frawen	menschlich	frau	NN	Stralsund	1630	WAHR	1	fem	0	3	animate	3	70	Geschädigte	positiv	FALSCH
S176_Z113	frawen	menschlich	frau	NN	Stralsund	1630	FALSCH	1	fem	0	3	animate	3	70	nicht entschieden	neutral	FALSCH
S65_Z261	Frawe	menschlich	frau	NN	Jever	1592	WAHR	0	fem	0	1	animate	3	70	Angeklagte	negativ	FALSCH
S168_Z89	freunde	menschlich	freund	NN	Perleberg	1588	FALSCH	1	male	0	1	animate	4	2	Geschädigter	positiv	FALSCH
S323_Z223	freunde	menschlich	freund	NN	Rosenburg	1618	FALSCH	1	male	0	2	animate	4	2	nicht entschieden	neutral	FALSCH
S416_Z166	Gärtner	menschlich	gärtner	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	1	Denunzierter	negativ	FALSCH
S310_Z40	Gaste	menschlich	gast	NN	Ostrau	1628	WAHR	1	male	0	3	animate	4	2	nicht entschieden	neutral	FALSCH
S313_Z145	Gaste	menschlich	gast	NN	Ostrau	1628	WAHR	1	male	0	3	animate	4	2	nicht entschieden	neutral	FALSCH
S170_Z181	geistin	menschlich	geistin	NN	Perleberg	1588	FALSCH	1	fem	0	1	animate	3	1	nicht entschieden	neutral	FALSCH
S293_Z107	Gerichtsknecht	menschlich	gerichtsknecht	NB	Georgenthal	1597	WAHR	1	male	1	1	animate	4	2	Justiz&Helfer	positiv	FALSCH
S222_Z79	gerichtscheffen	menschlich	gerichtsschöffe	NB	Gaugrehweiler	1610	FALSCH	0	male	1	2	animate	4	2	Justiz&Helfer	positiv	WAHR
S291_Z9	Gerichts Schöpffenn	menschlich	gerichtsschöffe	NB	Georgenthal	1597	WAHR	1	male	1	1	animate	4	2	Justiz&Helfer	positiv	WAHR
S467_Z201	gesell	menschlich	geselle	NN	München	1600	FALSCH	1	male	0	1	animate	4	3	nicht entschieden	neutral	FALSCH
S469_Z284	gesellen	menschlich	geselle	NB	München	1600	FALSCH	1	male	0	1	animate	4	3	Denunzierter 	negativ	FALSCH
S463_Z56	gesöllen	menschlich	geselle	NN	München	1600	FALSCH	1	male	0	1	animate	4	3	nicht entschieden	neutral	FALSCH
S347_Z106	gespielen	menschlich	gespiele	NN	Günzburg	1613	FALSCH	0	male	0	2	animate	4	2	Denunzierter	negativ	FALSCH
S394_Z126	gespilen	menschlich	gespiele	NN	Riedlingen	1596	FALSCH	0	male	0	1	animate	4	2	Denunzierter	negativ	FALSCH
S228_Z109	geuatter	menschlich	gevatter	NN	Hamm	1592	FALSCH	0	male	0	1	animate	4	2	nicht entschieden	neutral	FALSCH
S229_Z155	Geuatters	menschlich	gevatter	NN	Hamm	1592	WAHR	0	fem	0	1	animate	4	2	Angeklagte	negativ	FALSCH
S12_Z51	Graue	menschlich	graf	NB	Alme	1630	WAHR	0	male	0	3	animate	4	2	Denunzierter	negativ	WAHR
S14_Z113	Grauen	menschlich	graf	NB	Alme	1630	WAHR	0	male	0	3	animate	4	2	Zeuge	neutral	WAHR
SCHW1	Jung	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Geschädigter	positiv	FALSCH
SCHW2	Jung	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Geschädigter	positiv	FALSCH
SCHW3	Jung	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Angeklagter	negativ	FALSCH
SCHW4	Jung	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Angeklagter	negativ	FALSCH
S508_Z371	Jung	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Denunzierter	negativ	FALSCH
S507_Z335	Junge	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Geschädigter	positiv	FALSCH
S507_Z319	Jungen	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Geschädigter	positiv	FALSCH
S507_Z324	Jungen	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Geschädigter	positiv	FALSCH
S507_Z332	Jungen	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Geschädigter	positiv	FALSCH
S508_Z359	Jungen	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	nicht entschieden	neutral	FALSCH
S508_Z340	Jungens	menschlich	junge	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	11	Geschädigter	positiv	FALSCH
S11_Z22	Junffer	menschlich	jungfer	NN	Alme	1630	WAHR	0	fem	0	3	animate	3	1	Denunzierte	negativ	FALSCH
S419_Z282	Jungfraw	menschlich	jungfrau	NN	Bamberg	1628	WAHR	1	fem	0	3	animate	3	2	Geschädigte	positiv	FALSCH
S250_Z7	Junckhern	menschlich	junker	NB	Lemberg	1630	WAHR	0	male	0	3	animate	4	1	Justiz&Helfer	positiv	FALSCH
S417_Z195LN	Cantzler	menschlich	kanzler	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	3	Denunzierter	negativ	WAHR
S417_Z197	Cantzler	menschlich	kanzler	NN	Bamberg	1628	WAHR	1	male	0	3	animate	4	3	Justiz&Helfer	positiv	WAHR
S413_Z43	Cantzlern	menschlich	kanzler	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	3	Denunzierter	negativ	WAHR
S161_Z159	kerll	menschlich	kerl	NN	Güstrow	1615	FALSCH	1	male	0	2	animate	4	1	Geschädigter	positiv	FALSCH
S467_Z198	Khessler	menschlich	kesseler	NB	München	1600	WAHR	1	male	0	1	animate	4	1	nicht entschieden	neutral	FALSCH
S226_Z3	Cleger	menschlich	kläger	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	5	Kläger	positiv	FALSCH
S226_Z11	Cleger	menschlich	kläger	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	5	Kläger	positiv	FALSCH
S231_Z195	Cleger	menschlich	kläger	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	5	Kläger	positiv	FALSCH
S226_Z7	Clegern	menschlich	kläger	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	5	Kläger	positiv	FALSCH
S82_Z118	Clegern	menschlich	kläger	NN	Meldorf	1618	WAHR	0	male	0	2	animate	4	5	Kläger	positiv	FALSCH
S500_Z23	Clägerin	menschlich	klägerin	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	7	Klägerin	positiv	FALSCH
S500_Z31	Clägerin	menschlich	klägerin	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	7	Klägerin	positiv	FALSCH
S500_Z37	Clägerin	menschlich	klägerin	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	7	Klägerin	positiv	FALSCH
